word,lemmas,pos,points
bracers,bracer,n,3
braches,brach,n,3
brachet,brachet,n,3
brachia,brachium,n,3
bracing,brace|bracing,j|n|v,1
bracken,bracken,n,2
bracket,bracket,n|v,1
bradawl,bradawl,n,3
bradoon,bradoon,n,3
bragger,brag|bragger,j|n,1
brahman,brahman,n,2
brahmas,brahma,n,3
braider,braider,n,3
braille,braille,n|v,2
braizes,braize,n,3
braking,brake,j|n|v,1
bramble,bramble,n|v,2
brander,brander,n,3
branner,branner,n,3
brashes,brash,n,2
brasier,brasier,n,3
brasils,brasil,n,3
brasses,brass,n|v,1
brassie,brassie,n,3
bravado,bravado,n,2
bravers,braver,n,3
bravery,bravery,n,2
bravoes,bravo,n|v,2
bravura,bravura,n,2
bravure,bravura,n,2
brawler,brawler,n,2
braxies,braxy,n,3
brayers,brayer,n,3
braying,bray,n|v,2
brazers,brazer,n,3
brazier,brazier,n,2
brazils,brazil,n,2
breadth,breadth,n,2
breaker,breaker,n,2
breakup,breakup,n,1
breasts,breast,n|v,1
breaths,breath,n,1
breccia,breccia,n,3
brecham,brecham,n,3
brechan,brechan,n,3
breeder,breeder,n,2
breezes,breeze,n|v,1
bregmas,bregma,n,3
brekkie,brekkie,n,3
brevets,brevet,n|v,3
brevier,brevier,n,3
brevity,brevity,n,2
brewage,brewage,n,3
brewers,brewer,n,2
brewery,brewery,n,2
brewing,brew|brewing,n|v,2
brewpub,brewpub,n,2
brewski,brewski,n,3
briards,briard,n,3
bribees,bribee,n,3
bribers,briber,n,3
bribery,bribery,n,2
brickle,brickle,n,3
bricole,bricole,n,3
bridals,bridal,n,2
bridges,bridge,n|v,1
bridies,bridie,n,3
bridler,bridler,n,3
bridles,bridle,n|v,2
bridoon,bridoon,n,3
briefer,brief|briefer,j|n,1
brigade,brigade,n|v,1
brigand,brigand,n,2
brights,bright,n,1
brillos,brillo,n,3
brimmer,brimmer,n,3
brindle,brindle,n,3
briners,briner,n,3
bringer,bringer,n,2
brinies,briny,n,2
brioche,brioche,n,2
brisket,brisket,n,2
brisses,briss,n,3
bristle,bristle,n|v,2
bristol,bristol,n,3
britska,britska,n,3
britzka,britzka,n,3
broadax,broadax,n,3
brocade,brocade,n|v,2
brocket,brocket,n,3
brocoli,brocoli,n,3
brogans,brogan,n,3
brogues,brogue,n,2
broiler,broiler,n,2
brokage,brokage,n,3
brokers,broker,n|v,1
broking,broking,n,3
brolgas,brolga,n,3
bromals,bromal,n,3
bromide,bromide,n,2
bromids,bromid,n,3
bromine,bromine,n,2
bromins,bromin,n,3
bromism,bromism,n,3
bronchi,bronchus,n,3
broncho,broncho,n,3
broncos,bronco,n,3
bronzer,bronzer,n,2
bronzes,bronze,n|v,1
brooder,brooder,n,2
brookie,brookie,n,3
brothel,brothel,n,2
brother,brother,n|v,1
browner,brown|browner,j|n,1
brownie,brownie,n,2
browser,browser,n,1
brucine,brucine,n,3
brucins,brucin,n,3
brucite,brucite,n,3
bruiser,bruiser,n,2
bruises,bruise,n|v,1
bruiter,bruiter,n,3
brulots,brulot,n,3
brulyie,brulyie,n,3
brulzie,brulzie,n,3
brunets,brunet,n,3
brusher,brusher,n,3
brushes,brush,n|v,1
brushup,brushup,n,3
brutism,brutism,n,3
bruxism,bruxism,n,3
bubales,bubale,n,3
bubalis,bubalis,n,3
bubbies,bubbie|bubby,n,3
bubbler,bubbler,n,3
bubbles,bubble,n|v,1
bubinga,bubinga,n,3
buckeen,buckeen,n,3
buckers,bucker,n,3
buckets,bucket,n|v,1
buckeye,buckeye,n,3
buckler,buckler,n|v,3
buckles,buckle,n|v,1
buckoes,bucko,n,2
bucksaw,bucksaw,n,3
bucolic,bucolic,j|n,2
budders,budder,n,3
buddhas,buddha,n,2
buddies,buddy,n|v,1
budding,bud|budding,j|n|v,1
buddles,buddle,n,3
budgers,budger,n,3
budgets,budget,n|v,1
budgies,budgie,n,2
budwood,budwood,n,3
budworm,budworm,n,3
buffalo,buffalo,n|v,1
buffers,buffer,n|v,1
buffets,buffet,n|v,1
buffoon,buffoon,n,2
bugaboo,bugaboo,n,2
bugbane,bugbane,n,3
bugbear,bugbear,n,2
bugeyes,bugeye,n,3
buggers,bugger,n|v,2
buggery,buggery,n,3
buggies,buggy,n,2
bugging,bug,n|v,1
buglers,bugler,n,2
bugloss,bugloss,n,3
bugouts,bugout,n,3
bugseed,bugseed,n,3
bugshas,bugsha,n,3
builder,builder,n,1
buildup,buildup,n,1
bulbels,bulbel,n,3
bulbils,bulbil,n,3
bulblet,bulblet,n,3
bulbuls,bulbul,n,3
bulgars,bulgar,n,3
bulgers,bulger,n,3
bulghur,bulghur,n,3
bulgurs,bulgur,n,2
bulimia,bulimia,n,2
bulimic,bulimic,j|n,2
bulkage,bulkage,n,3
bulkers,bulker,n,3
bullace,bullace,n,3
bullbat,bullbat,n,3
bulldog,bulldog,n|v,1
bullets,bullet,n|v,1
bulleys,bulley,n,3
bullies,bully,n|v,1
bullion,bullion,n,2
bullock,bullock,n,2
bullpen,bullpen,n,2
bulrush,bulrush,n,2
bulwark,bulwark,n|v,2
bumbags,bumbag,n,3
bumbler,bumbler,n,3
bumboat,bumboat,n,3
bumelia,bumelia,n,3
bumkins,bumkin,n,3
bummalo,bummalo,n,3
bummers,bummer,n,2
bumpers,bumper,n|v,2
bumping,bump,n|v,1
bumpkin,bumpkin,n,2
bumwads,bumwad,n,3
buncher,buncher,n,3
bunches,bunch,n|v,1
bundist,bundist,n,3
bundler,bundler,n,2
bundles,bundle,n|v,1
bungees,bungee,n,2
bungler,bungler,n,3
bungles,bungle,n|v,2
bunhead,bunhead,n,3
bunions,bunion,n,2
bunkers,bunker,n|v,1
bunkies,bunkie,n,3
bunkums,bunkum,n,3
bunnies,bunny,n,1
bunraku,bunraku,n,3
bunters,bunter,n,3
bunting,bunt|bunting,n|v,2
bunyips,bunyip,n,3
buoyage,buoyage,n,3
buppies,buppie|buppy,n,3
buqshas,buqsha,n,3
burbler,burbler,n,3
burbles,burble,n|v,2
burbots,burbot,n,3
burdens,burden,n|v,1
burdies,burdie,n,3
burdock,burdock,n,2
bureaus,bureau,n,1
bureaux,bureau,n,1
burette,burette,n,3
burgage,burgage,n,3
burgees,burgee,n,3
burgers,burger,n,1
burgess,burgess,n,2
burgher,burgher,n,2
burglar,burglar,n,2
burgoos,burgoo,n,3
burgout,burgout,n,3
burials,burial,n,1
buriers,burier,n,3
burkers,burker,n,3
burkhas,burkha,n,3
burkite,burkite,n,3
burlaps,burlap,n,2
burlers,burler,n,3
burlesk,burlesk,n,3
burleys,burley,n,3
burners,burner,n,1
burnets,burnet,n,3
burnies,burnie,n,3
burning,burn|burning,j|n|v,1
burnous,burnous,n,3
burnout,burnout,n,2
burpees,burpee,n,3
burrers,burrer,n,3
burrito,burrito,n,2
burrows,burrow,n|v,2
bursars,bursar,n,2
bursary,bursary,n,3
burseed,burseed,n,3
burster,burster,n,3
burtons,burton,n,3
burweed,burweed,n,3
busbars,busbar,n,3
busbies,busby,n,3
busboys,busboy,n,2
busgirl,busgirl,n,3
bushels,bushel,n|v,2
bushers,busher,n,3
bushido,bushido,n,3
bushies,bushy,n,2
bushing,bush|bushing,n|v,1
bushlot,bushlot,n,3
bushman,bushman,n,2
bushmen,bushman,n,2
bushpig,bushpig,n,3
bushtit,bushtit,n,3
bushwah,bushwah,n,3
bushwas,bushwa,n,3
busings,busing,n,2
buskers,busker,n,2
busking,busk|busking,n|v,2
buskins,buskin,n,3
busload,busload,n,2
bussing,bus|buss|bussing,n|v,1
bustard,bustard,n,3
bustees,bustee,n,3
busters,buster,n,2
bustics,bustic,n,3
bustier,bustier|busty,j|n,2
bustler,bustler,n,3
bustles,bustle,n|v,2
butanes,butane,n,2
butanol,butanol,n,3
butcher,butch|butcher,j|n|v,1
butches,butch,n,2
butenes,butene,n,3
butlers,butler,n,2
butlery,butlery,n,3
buttals,buttals,n,3
butters,butter,n|v,1
buttery,buttery,j|n,2
butties,butty,n,3
buttock,buttock,n,3
buttons,button,n|v,1
butyral,butyral,n,3
butyrin,butyrin,n,3
butyryl,butyryl,n,3
buyback,buyback,n,2
buyoffs,buyoff,n,3
buyouts,buyout,n,2
buzukia,buzuki,n,3
buzukis,buzuki,n,3
buzzard,buzzard,n,2
buzzcut,buzzcut,n,3
buzzers,buzzer,n,2
buzzing,buzz|buzzing,j|n|v,1
buzzwig,buzzwig,n,3
bycatch,bycatch,n,3
byelaws,byelaw,n,3
bygones,bygone,n,2
byliner,byliner,n,3
bylines,byline,n|v,2
bynames,byname,n,3
bypaths,bypath,n,3
byplays,byplay,n,3
byrnies,byrnie,n,3
byroads,byroad,n,3
bytalks,bytalk,n,3
bywords,byword,n,2
byworks,bywork,n,3
byzants,byzant,n,3
baalisms,baalism,n,3
baaskaap,baaskaap,n,3
baaskaps,baaskap,n,3
baasskap,baasskap,n,3
babassus,babassu,n,3
babbitry,babbitry,n,3
babblers,babbler,n,3
babbling,babble|babbling,j|n|v,2
babesiae,babesia,n,3
babesias,babesia,n,3
babiches,babiche,n,3
babirusa,babirusa,n,3
babouche,babouche,n,3
babushka,babushka,n,2
babydoll,babydoll,n,3
babyhood,babyhood,n,2
bacalaos,bacalao,n,3
bacalhau,bacalhau,n,3
baccalas,baccala,n,3
baccaras,baccara,n,3
baccarat,baccarat,n,2
bacchant,bacchant,n,3
bacchius,bacchius,n,3
bachelor,bachelor,n,1
bacillus,bacillus,n,2
backache,backache,n,2
backbars,backbar,n,3
backbeat,backbeat,n,2
backbend,backbend,n,3
backbone,backbone,n,1
backcast,backcast,n,3
backchat,backchat,n,3
backdoor,backdoor,j|n,2
backdown,backdown,n,3
backdrop,backdrop,n|v,1
backfats,backfat,n,3
backfill,backfill,n|v,2
backflip,backflip,n|v,2
backflow,backflow,n,3
backhoes,backhoe,n|v,2
backings,backing,n,1
backland,backland,n,3
backlash,backlash,n|v,1
backlist,backlist,n|v,2
backlogs,backlog,n|v,2
backlots,backlot,n,3
backouts,backout,n,3
backpack,backpack,n|v,1
backrest,backrest,n,2
backroom,backroom,n,2
backrush,backrush,n,3
backsaws,backsaw,n,3
backseat,backseat,n,2
backsets,backset,n,3
backside,backside,n,2
backspin,backspin,n,2
backstay,backstay,n,3
backstop,backstop,n|v,2
backtalk,backtalk,n,3
backwash,backwash,n|v,2
backwrap,backwrap,n,3
backyard,backyard,n,1
baclofen,baclofen,n,3
bacteria,bacteria,n,1
bacterin,bacterin,n,3
baculums,baculum,n,3
badasses,badass,n,2
badlands,badland,n,3
bafflers,baffler,n,3
bagasses,bagass|bagasse,n,3
baggages,baggage,n,1
baggings,bagging,n,3
baghouse,baghouse,n,3
bagpiper,bagpiper,n,2
bagpipes,bagpipe,n|v,2
baguette,baguette,n,2
bagworms,bagworm,n,3
bahadurs,bahadur,n,3
baidarka,baidarka,n,3
bailiffs,bailiff,n,2
bailment,bailment,n,3
bailouts,bailout,n,1
bailsman,bailsman,n,3
bailsmen,bailsman,n,3
baitfish,baitfish,n,2
bakelite,bakelite,n,3
bakemeat,bakemeat,n,3
bakeries,bakery,n,1
bakeshop,bakeshop,n,3
bakeware,bakeware,n,3
baklavas,baklava,n,2
baklawas,baklawa,n,3
balafons,balafon,n,3
balancer,balancer,n,2
balances,balance,n|v,1
baldhead,baldhead,n,3
baldness,baldness,n,2
baldpate,baldpate,n,3
baldrick,baldrick,n,3
baldrics,baldric,n,3
balefire,balefire,n,3
balisaur,balisaur,n,3
balkline,balkline,n,3
ballades,ballade,n,3
balladry,balladry,n,3
ballasts,ballast,n|v,2
ballboys,ballboy,n,3
ballcock,ballcock,n,3
ballgame,ballgame,n,2
ballgirl,ballgirl,n,3
ballhawk,ballhawk,n,3
ballista,ballista,n,3
ballocks,ballocks,n,3
ballonet,ballonet,n,3
ballonne,ballonne,n,3
balloons,balloon,n|v,1
balloter,balloter,n,3
ballpark,ballpark,j|n,2
ballroom,ballroom,n,2
ballutes,ballute,n,3
ballyard,ballyard,n,3
ballyhoo,ballyhoo,n|v,2
balmoral,balmoral,n,3
baloneys,baloney,n,2
baluster,baluster,n,2
bambinos,bambino,n,3
banality,banality,n,2
bandager,bandager,n,3
bandages,bandage,n|v,2
bandanas,bandana,n,2
bandanna,bandanna,n,2
bandeaus,bandeau,n,3
bandeaux,bandeau,n,3
banderol,banderol,n,3
bandings,banding,n,2
banditos,bandito,n,3
banditry,banditry,n,2
banditti,bandit,n,2
bandmate,bandmate,n,2
bandoras,bandora,n,3
bandores,bandore,n,3
bandpass,bandpass,n,3
bandsman,bandsman,n,3
bandsmen,bandsman,n,3
banduras,bandura,n,3
bangkoks,bangkok,n,3
bangtail,bangtail,n,3
banisher,banisher,n,3
banister,banister,n,2
banjoist,banjoist,n,3
bankbook,bankbook,n,3
bankcard,bankcard,n,3
bankings,banking,n,1
banknote,banknote,n,2
bankroll,bankroll,n|v,2
banksias,banksia,n,3
bankside,bankside,n,3
banneret,banneret,n,3
bannerol,bannerol,n,3
bannocks,bannock,n,3
banquets,banquet,n|v,2
banshees,banshee,n,2
banshies,banshie,n,3
bantengs,banteng,n,3
banterer,banterer,n,3
bantling,bantling,n,3
baptisia,baptisia,n,3
baptisms,baptism,n,1
baptists,baptist,n,1
baptizer,baptizer,n,3
barathea,barathea,n,3
barbasco,barbasco,n,3
barbecue,barbecue,n|v,1
barbells,barbell,n,2
barbeque,barbeque,n|v,2
barberry,barberry,n,2
barbette,barbette,n,3
barbican,barbican,n,3
barbicel,barbicel,n,3
barbital,barbital,n,3
barbotte,barbotte,n,3
barbules,barbule,n,3
barbwire,barbwire,n,3
barchans,barchan,n,3
barcodes,barcode,n,3
bareboat,bareboat,n,3
bareness,bareness,n,3
baresark,baresark,n,3
barflies,barfly,n,3
bargains,bargain,n|v,1
bargello,bargello,n,3
bargeman,bargeman,n,3
bargemen,bargeman,n,3
barghest,barghest,n,3
bargoons,bargoon,n,3
barguest,barguest,n,3
barillas,barilla,n,3
baristas,barista,n,2
baritone,baritone,n,2
barkeeps,barkeep,n,2
barleduc,barleduc,n,3
barmaids,barmaid,n,2
barnacle,barnacle,n,2
barnwood,barnwood,n,3
barnyard,barnyard,n,2
barogram,barogram,n,3
baronage,baronage,n,3
baroness,baroness,n,2
baronets,baronet,n,2
baronies,barony,n,3
baronnes,baronne,n,3
baroques,baroque,n,2
barosaur,barosaur,n,3
barouche,barouche,n,3
barracks,barrack,n|v,3
barrages,barrage,n|v,2
barranca,barranca,n,3
barranco,barranco,n,3
barrater,barrater,n,3
barrator,barrator,n,3
barratry,barratry,n,3
barretor,barretor,n,3
barretry,barretry,n,3
barrette,barrette,n,2
barriers,barrier,n,1
barrique,barrique,n,3
barrooms,barroom,n,2
barstool,barstool,n,2
barterer,barterer,n,3
bartisan,bartisan,n,3
bartizan,bartizan,n,3
barwares,barware,n,3
barytone,barytone,n,3
barytons,baryton,n,3
basaltes,basaltes,n,3
bascinet,bascinet,n,3
bascules,bascule,n,3
baseball,baseball,n,1
basehead,basehead,n,3
baseline,baseline,n,1
baseload,baseload,n,2
basement,basement,n,1
baseness,baseness,n,2
basenjis,basenji,n,3
basepath,basepath,n,3
bashings,bashing,n,2
bashlyks,bashlyk,n,3
basicity,basicity,n,3
basidium,basidium,n,3
basifier,basifier,n,3
basilect,basilect,n,3
basilica,basilica,n,2
basilisk,basilisk,n,2
basinets,basinet,n,3
basinful,basinful,n,3
basketry,basketry,n,2
basmatis,basmati,n,2
basophil,basophil,n,3
bassetts,bassett,n,3
bassinet,bassinet,n,2
bassists,bassist,n,2
bassness,bassness,n,3
bassoons,bassoon,n,2
basswood,basswood,n,2
bastards,bastard,n,1
bastardy,bastardy,n,3
bastiles,bastile,n,3
bastille,bastille,n,3
bastings,basting,n,2
bastions,bastion,n,2
batchers,batcher,n,3
batgirls,batgirl,n,3
bathings,bathing,n,2
bathmats,bathmat,n,3
bathoses,bathos,n,3
bathrobe,bathrobe,n,2
bathroom,bathroom,n,1
bathtubs,bathtub,n,1
batistes,batiste,n,3
battalia,battalia,n,3
batteaux,batteau,n,3
battener,battener,n,3
batterer,batterer,n,2
batterie,batterie,n,3
battings,batting,n,2
battlers,battler,n,2
baudekin,baudekin,n,3
baudrons,baudrons,n,3
bauhinia,bauhinia,n,3
baulkers,baulker,n,3
bauxites,bauxite,n,2
bawcocks,bawcock,n,3
bawdrics,bawdric,n,3
bawdries,bawdry,n,3
bayadeer,bayadeer,n,3
bayadere,bayadere,n,3
bayberry,bayberry,n,3
bayfront,bayfront,n,3
baynoddy,baynoddy,n,3
bayonets,bayonet,n|v,2
baysides,bayside,n,3
baywoods,baywood,n,3
bazookas,bazooka,n,2
bdellium,bdellium,n,3
beachboy,beachboy,n,3
beadings,beading,n,2
beadroll,beadroll,n,3
beadsman,beadsman,n,3
beadsmen,beadsman,n,3
beadwork,beadwork,n,2
beaglers,beagler,n,3
beagling,beagle|beagling,n|v,2
bealings,bealing,n,3
beanbags,beanbag,n,2
beanball,beanball,n,3
beanpole,beanpole,n,2
bearcats,bearcat,n,2
bearhugs,bearhug,n,3
bearings,bearing,n,1
bearpaws,bearpaw,n,3
bearskin,bearskin,n,2
bearwood,bearwood,n,3
beasties,beastie,n,2
beatdown,beatdown,n,2
beatings,beating,n,1
beatniks,beatnik,n,2
beaucoup,beaucoup,n,3
beauties,beauty,n,1
bebeerus,bebeeru,n,3
bebopper,bebopper,n,3
bechamel,bechamel,n,3
beckoner,beckoner,n,3
becoming,become|becoming,n|v,1
bedboard,bedboard,n,3
bedchair,bedchair,n,3
bedcover,bedcover,n,2
beddings,bedding,n,2
bedesman,bedesman,n,3
bedesmen,bedesman,n,3
bedframe,bedframe,n,3
bedgowns,bedgown,n,3
bedheads,bedhead,n,3
bedlamer,bedlamer,n,3
bedlamps,bedlamp,n,3
bedliner,bedliner,n,3
bedmaker,bedmaker,n,3
bedmates,bedmate,n,3
bedouins,bedouin,n,2
bedplate,bedplate,n,3
bedposts,bedpost,n,2
bedquilt,bedquilt,n,3
bedrails,bedrail,n,3
bedrests,bedrest,n,3
bedrocks,bedrock,n,2
bedrolls,bedroll,n,2
bedrooms,bedroom,n,1
bedsheet,bedsheet,n,2
bedsides,bedside,n,2
bedskirt,bedskirt,n,3
bedsocks,bedsock,n,3
bedsonia,bedsonia,n,3
bedsores,bedsore,n,2
bedstand,bedstand,n,3
bedstead,bedstead,n,2
bedstraw,bedstraw,n,3
bedticks,bedtick,n,3
bedtimes,bedtime,n,1
beebread,beebread,n,3
beechnut,beechnut,n,3
beefalos,beefalo,n,3
beefcake,beefcake,n,3
beefwood,beefwood,n,3
beehives,beehive,n,2
beernuts,beernut,n,3
beeswing,beeswing,n,3
beetlers,beetler,n,3
beetroot,beetroot,n,3
beeyards,beeyard,n,3
befouler,befouler,n,3
begetter,begetter,n,3
beginner,beginner,n,1
begonias,begonia,n,2
beguiler,beguiler,n,3
beguines,beguine,n,3
behalves,behalf,n,1
behavers,behaver,n,3
behavior,behavior,n,1
beheadal,beheadal,n,3
beheader,beheader,n,3
behemoth,behemoth,n,2
beholder,beholder,n,2
behooves,behoof|behoove,n|v,2
beignets,beignet,n,2
bejabers,bejabers,n,3
bejeezus,bejeezus,n,3
belayers,belayer,n,3
belchers,belcher,n,3
beldames,beldame,n,3
belfries,belfry,n,2
believer,believer,n,1
bellbird,bellbird,n,3
bellboys,bellboy,n,2
bellbuoy,bellbuoy,n,3
belleeks,belleek,n,3
bellhops,bellhop,n,2
bellings,belling,n,3
bellower,bellower,n,3
bellpull,bellpull,n,3
bellwort,bellwort,n,3
bellyful,bellyful,n,3
beloveds,beloved,n,1
beltings,belting,n,3
beltline,beltline,n,3
beltways,beltway,n,2
benadryl,benadryl,n,3
benchers,bencher,n,3
benching,bench,n|v,1
benchtop,benchtop,j|n,2
benedick,benedick,n,3
benedict,benedict,n,3
benefice,benefice,n|v,3
benefits,benefit,n|v,1
benisons,benison,n,3
benjamin,benjamin,n,3
benomyls,benomyl,n,3
benthons,benthon,n,3
bentwood,bentwood,n,3
benzenes,benzene,n,2
benzidin,benzidin,n,3
benzines,benzine,n,3
benzoate,benzoate,n,3
benzoins,benzoin,n,3
benzoles,benzole,n,3
benzoyls,benzoyl,n,2
bequests,bequest,n,2
berberin,berberin,n,3
berberis,berberis,n,3
berceuse,berceuse,n,3
berdache,berdache,n,3
bereaver,bereaver,n,3
berettas,beretta,n,3
bergamot,bergamot,n,2
bergenia,bergenia,n,3
bergeres,bergere,n,3
beriberi,beriberi,n,3
berimbau,berimbau,n,3
berlines,berline,n,3
bermudas,bermudas,n,3
bernicle,bernicle,n,3
berretta,berretta,n,3
berrying,berry|berrying,n|v,1
berseems,berseem,n,3
berserks,berserk,n,2
berthing,berth|berthing,n|v,2
besetter,besetter,n,3
besieger,besieger,n,3
bestiary,bestiary,n,2
bestowal,bestowal,n,2
bestower,bestower,n,3
betaines,betaine,n,3
betatron,betatron,n,3
betelnut,betelnut,n,3
bethesda,bethesda,n,3
betonies,betony,n,3
betrayal,betrayal,n,1
betrayer,betrayer,n,2
bettings,betting,n,2
bevatron,bevatron,n,3
bevelers,beveler,n,3
beveller,beveller,n,3
beverage,beverage,n,1
bewailer,bewailer,n,3
bewrayer,bewrayer,n,3
bezazzes,bezazz,n,3
beziques,bezique,n,3
bezzants,bezzant,n,3
bhangras,bhangra,n,3
bheestie,bheestie,n,3
bhelpuri,bhelpuri,n,3
bhisties,bhistie,n,3
biacetyl,biacetyl,n,3
biasness,biasness,n,3
biathlon,biathlon,n,2
bibbings,bibbing,n,3
bibcocks,bibcock,n,3
bibelots,bibelot,n,3
bibimbap,bibimbap,n,3
biblists,biblist,n,3
bicepses,biceps,n,2
bickerer,bickerer,n,3
bicolors,bicolor,n,3
bicolour,bicolour,n,3
bicornes,bicorne,n,3
bicuspid,bicuspid,n,3
bicycler,bicycler,n,3
bicycles,bicycle,n|v,1
bidarkas,bidarka,n,3
bidarkee,bidarkee,n,3
biddings,bidding,n,2
biennale,biennale,n,3
biennial,biennial,n,2
biennium,biennium,n,2
bifidity,bifidity,n,3
bifidums,bifidum,n,3
bifocals,bifocal,n,3
bigamies,bigamy,n,2
bigamist,bigamist,n,2
bigarade,bigarade,n,3
bigaroon,bigaroon,n,3
bigeminy,bigeminy,n,3
bigfoots,bigfoot,n|v,2
biggings,bigging,n,3
bigheads,bighead,n,3
bighorns,bighorn,n,2
bigmouth,bigmouth,n,3
bignonia,bignonia,n,3
biguines,biguine,n,3
bikeways,bikeway,n,3
bilabial,bilabial,n,3
bilander,bilander,n,3
bilayers,bilayer,n,2
bilberry,bilberry,n,3
bilevels,bilevel,n,3
billbugs,billbug,n,3
billetee,billetee,n,3
billeter,billeter,n,3
billfish,billfish,n,2
billfold,billfold,n,2
billhead,billhead,n,3
billhook,billhook,n,3
billiard,billiard,n,3
billings,billing,n,1
billions,billion,m|n,1
billycan,billycan,n,3
bilsteds,bilsted,n,3
biltongs,biltong,n,3
bimbette,bimbette,n,3
bimester,bimester,n,3
bimetals,bimetal,n,3
bimethyl,bimethyl,n,3
bimorphs,bimorph,n,3
binaries,binary,n,1
binarism,binarism,n,3
bindings,binding,n,1
bindweed,bindweed,n,3
bingeing,binge|bingeing,n|v,2
bingings,binging,n,3
binnacle,binnacle,n,3
binocles,binocle,n,3
binomial,binomial,j|n,2
bioassay,bioassay,n|v,2
biochips,biochip,n,3
biocides,biocide,n,3
biocycle,biocycle,n,3
biofilms,biofilm,n,2
biofuels,biofuel,n,2
biogases,biogas,n,2
bioherms,bioherm,n,3
biologic,biologic,j|n,2
biolyses,biolysis,n,3
biolysis,biolysis,n,3
biometer,biometer,n,3
biometry,biometry,n,3
biomorph,biomorph,n,3
bioplasm,bioplasm,n,3
biopsies,biopsy,n|v,2
bioscope,bioscope,n,3
bioscopy,bioscopy,n,3
biosolid,biosolid,n,3
biotechs,biotech,j|n,2
biotites,biotite,n,3
biotopes,biotope,n,3
biotoxin,biotoxin,n,3
biotrons,biotron,n,3
biotypes,biotype,n,3
biowaste,biowaste,n,3
biphenyl,biphenyl,n,2
biplanes,biplane,n,2
birdbath,birdbath,n,2
birdcage,birdcage,n,2
birdcall,birdcall,n,3
birdfarm,birdfarm,n,3
birdfeed,birdfeed,n,3
birdings,birding,n,2
birdlife,birdlife,n,3
birdseed,birdseed,n,2
birdseye,birdseye,n,3
birdshot,birdshot,n,2
birdsong,birdsong,n,2
birettas,biretta,n,3
birianis,biriani,n,3
birlings,birling,n,3
birretta,birretta,n,3
birrotch,birr,n,3
birthday,birthday,n,1
birthing,birth|birthing,j|n|v,1
biryanis,biryani,n,3
biscotti,biscotto,n,3
biscotto,biscotto,n,3
biscuits,biscuit,n,1
bisector,bisector,n,3
bisexual,bisexual,j|n,2
bismarck,bismarck,n,3
bismuths,bismuth,n,2
bisnagas,bisnaga,n,3
bistable,bistable,n,3
bistorts,bistort,n,3
bistoury,bistoury,n,3
bitchery,bitchery,n,3
bitching,bitch,n|v,1
bitcoins,bitcoin,n,3
bitewing,bitewing,n,3
bitrates,bitrate,n,3
bitstock,bitstock,n,3
bitterns,bittern,n,3
bittings,bitting,n,3
bittocks,bittock,n,3
bitumens,bitumen,n,2
biturbos,biturbo,n,3
bivalent,bivalent,j|n,3
bivalves,bivalve,n,2
bivinyls,bivinyl,n,3
bivouacs,bivouac,n|v,2
biweekly,biweekly,n|r,2
bizarres,bizarre,n,1
bizarros,bizarro,n,3
biznagas,biznaga,n,3
blackboy,blackboy,n,3
blackcap,blackcap,n,3
blackfin,blackfin,n,3
blackfly,blackfly,n,3
blackgum,blackgum,n,3
blacking,black|blacking,n|v,1
blackout,blackout,n,2
blacktip,blacktip,n,3
blacktop,blacktop,n|v,2
bladders,bladder,n,1
bladings,blading,n,3
blaggers,blagger,n,3
blagging,blag|blagging,n|v,3
blancher,blancher,n,3
blankets,blanket,n|v,1
blankety,blankety,n,3
blankies,blankie,n,2
blastema,blastema,n,3
blasters,blaster,n,2
blasties,blastie,n,3
blasting,blast|blasting,j|n|v,1
blastoff,blastoff,n,3
blastoma,blastoma,n,3
blastula,blastula,n,3
blatancy,blatancy,n,3
blauboks,blaubok,n,3
blazoner,blazoner,n,3
blazonry,blazonry,n,3
bleacher,bleacher,n,3
bleaches,bleach,n|v,2
bleaters,bleater,n,3
bleating,bleat,j|n|v,2
blebbing,blebbing,n,3
bleeders,bleeder,n,2
bleeding,bleed|bleeding,j|n|v,1
bleepers,bleeper,n,3
blellums,blellum,n,3
blencher,blencher,n,3
blenders,blender,n,1
blending,blend|blending,j|n|v,1
blennies,blenny,n,3
blesboks,blesbok,n,3
blesbuck,blesbuck,n,3
blessers,blesser,n,3
blessing,bless|blessing,n|v,1
blighter,blighter,n,3
blimpery,blimpery,n,3
blindage,blindage,n,3
blinders,blinder,n,3
blindgut,blindgut,n,3
blinding,blind|blinding,j|n|v,1
blinkard,blinkard,n,3
blinkers,blinker,n|v,2
blinking,blink,j|n|v,1
blintzes,blintz|blintze,n,3
blisters,blister,n|v,2
blitzers,blitzer,n,3
blizzard,blizzard,n|v,1
bloaters,bloater,n,3
bloating,bloat|bloating,n|v,2
blockade,blockade,n|v,2
blockage,blockage,n,2
blockers,blocker,n,2
blocking,block|blocking,j|n|v,1
bloggers,blogger,n,1
blogging,blog|blogging,j|n|v,1
bloodfin,bloodfin,n,3
blooding,blood|blooding,n|v,1
bloomers,bloomer,n,2
bloomery,bloomery,n,3
blooming,bloom|blooming,j|n|v,1
bloopers,blooper,n,2
blossoms,blossom,n|v,1
blotches,blotch,n|v,2
blotters,blotter,n,2
blotting,blot,n|v,2
blousons,blouson,n,3
blowback,blowback,n,2
blowball,blowball,n,3
blowdart,blowdart,n,3
blowdown,blowdown,n,2
blowfish,blowfish,n,2
blowguns,blowgun,n,3
